metro,median_v_cnt,index_sum,arrival_cnt,inhabit_points,arrival_points,full_points
Спортивная,223477.0,21002.0,202475.0,0.1898121216291458,0.019228283672810632,0.20904040530195642
Аэропорт,323732.5,15654.0,308078.5,0.12572095743334602,0.029257047988610892,0.15497800542195692
Аэропорт,323732.5,31004.0,292728.5,0.2854334341859397,0.02779931664213531,0.313232750828075
Динамо,362650.0,20885.0,341765.0,0.16682821870001646,0.03245612727219719,0.19928434597221364
Молодёжная,394832.5,70199.0,324633.5,0.6814751908759757,0.030829213619940093,0.7123044044959158
Кутузовская,233031.5,17513.0,215518.5,0.16329277583115365,0.020466975452468887,0.18375975128362254
Щёлковская,566744.0,2026.0,564718.0,0.011419212162346346,0.053629129024038893,0.06504834118638524
Лермонтовский проспект,160569.0,43621.0,116948.0,0.39191509220714427,0.011106108502125487,0.4030212007092698
Пятницкое шоссе,122104.0,14836.0,107268.0,0.10804726212800592,0.01018683557483665,0.11823409770284257
Новокосино,504996.5,60008.0,444988.5,0.6466489748581508,0.04225887200463511,0.6889078468627858
Некрасовка,214759.0,81657.0,133102.0,1.0817149931546404,0.012640192682644479,1.0943551858372849
Чеховская,175788.5,9631.0,166157.5,0.0780935606711172,0.015779348286776306,0.0938729089578935
Университет,262278.5,31394.0,230884.5,0.29378433673653015,0.021926226258328418,0.31571056299485856
Строгино,221230.0,49277.0,171953.0,0.5906380825105748,0.016329724965505898,0.6069678074760807
Новогиреево,551077.0,32997.0,518080.0,0.2926805609323978,0.04920009485225204,0.3418806557846498
Пролетарская,262540.0,11702.0,250838.0,0.09366142530883344,0.023821134559429427,0.11748255986826286
Алтуфьево,377056.5,9096.0,367960.5,0.061634163578012414,0.0349438146654611,0.09657797824347351
Спортивная,223477.0,15923.0,207554.0,0.1509983931660252,0.01971061706100278,0.17070901022702797
Водный стадион,320474.5,35343.0,285131.5,0.29171323359492685,0.02707785833339427,0.3187910919283211
Авиамоторная,376220.5,43697.0,332523.5,0.35377161434248583,0.03157849702864969,0.3853501113711355
Щукинская,311051.5,10898.0,300153.5,0.08856572487639607,0.028504440762498907,0.11707016563889497
Автозаводская,436278.5,22208.0,414070.5,0.16453773934166271,0.03932270667757765,0.20386044601924036
Коптево,108183.0,62767.0,45416.0,0.5812751067233337,0.004312985461337783,0.5855880921846714
Баррикадная,178716.0,2485.0,176231.0,0.018296499921003656,0.016735990418289125,0.03503249033929278
Водный стадион,320474.5,25087.0,295387.5,0.2050797294986896,0.02805183179850525,0.23313156129719487
Бульвар Адмирала Ушакова,75058.0,242748.0,0.0,5.355219758481143,0.0,5.355219758481143
Новоясеневская,52174.5,42066.0,10108.5,0.428318772394686,0.0009599659489152058,0.42927873834360125
Щукинская,311051.5,20612.0,290439.5,0.18013540058224414,0.027581938984019182,0.20771733956626331
Коньково,220991.0,30150.0,190841.0,0.2668527448076038,0.018123446768257088,0.2849761915758609
Тропарёво,144187.5,35710.0,108477.5,0.3229954682482303,0.010301697207642006,0.3332971654558723
Тропарёво,144187.5,24483.0,119704.5,0.21969591015009268,0.011367882864116361,0.23106379301420904
Варшавская,188711.0,18385.0,170326.0,0.13266523309500333,0.016175214939400637,0.14884044803440397
Бульвар Дмитрия Донского,430688.0,13262.0,417426.0,0.09048146300052956,0.039641365800255096,0.13012282880078466
Ленинский проспект,472115.0,33856.0,438259.0,0.326100419781263,0.041619796884367524,0.3677202166656305
Коньково,220991.0,50243.0,170748.0,0.47608173519280184,0.016215290680652278,0.49229702587345414
Новые Черёмушки,311354.5,24990.0,286364.5,0.21956693932394827,0.0271949516721698,0.24676189099611806
Улица Милашенкова,2321.0,13926.0,0.0,0.10561876299721965,0.0,0.10561876299721965
Охотный ряд,439489.5,10081.0,429408.5,0.08841198315246308,0.04077929842951527,0.12919128158197835
Шаболовская,229604.5,15600.0,214004.5,0.1249515019005423,0.020323196608262765,0.14527469850880506
Новые Черёмушки,311354.5,45172.0,266182.5,0.48338681777749704,0.025278343591741775,0.5086651613692388
Комсомольская,1158107.5,13683.0,1144424.5,0.5025663939644733,0.10868165910909727,0.6112480530735707
Воробьёвы горы,68012.5,36922.0,31090.5,0.3763732278269637,0.002952546998540654,0.37932577482550434
Университет,262278.5,4358.0,257920.5,0.030234147918799005,0.024493732752355377,0.05472788067115438
Калужская,325522.0,18464.0,307058.0,0.14718798420003432,0.02916013496977843,0.17634811916981274
Улица Академика Янгеля,213921.0,27631.0,186290.0,0.2038357749512013,0.01769125553973524,0.22152703049093656
Тимирязевская,236088.0,15682.0,220406.0,0.11035587510198369,0.020931122811159403,0.1312869979131431
Арбатская,269881.0,3179.0,266702.0,0.023214517175356907,0.025327678538614354,0.04854219571397126
Бауманская,417490.0,22336.0,395154.0,0.18246850362600905,0.037526278337798806,0.21999478196380787
Маяковская,270912.5,7181.0,263731.5,0.05814673736733364,0.02504558140736317,0.08319231877469681
Марьина Роща,212936.0,6423.0,206513.0,0.04614397948120641,0.01961175723483463,0.06575573671604104
Кунцевская,211120.5,8222.0,202898.5,0.06117103007594627,0.019268501863379518,0.08043953193932579
